wbc_category,wbc_year_win,medal,wbc_name,wbc_brewery,wbctoratebeer_name_brewery
wood aged beer,2010,silver,Kentucky Bourbon Barrel Ale,Alltech’s Lexington Brewing Co.,Kentucky Bourbon Barrel Ale
wood aged beer,2010,bronze,Pullman’s Reserve,Flossmoor Station Restaurant & Brewery,Flossmoor Station Pullman Reserve
wood aged strong beer,2008,silver,Elmer's Reserve,Newport Beach Brewing Co.,Newport Beach Elmers Reserve Bourbon Stout
wood aged strong beer,2008,bronze,Allagash Curieux,Allagash Brewing Co.,Allagash Curieux
wood aged strong beer,2010,gold,The Legend of the Liquid Brain Imperial Stout,Bull & Bush Brewery,Bull & Bush Legend of the Liquid Brain
wood aged strong beer,2010,silver,Barrel Aged La Petite Mort,Black Raven Brewing Co.,Black Raven Bourbon Barrel La Petite Mort
wood aged strong beer,2010,bronze,Rudolf’s Bourbon Scotch Ale,Rock Bottom Brewery - Cincinnati,Rock Bottom Cincinnati Rudolf’s Bourbon Barrel Scotch Ale
german style wheat,2002,gold,Martini Weissbier,Hell Einbecker-Brauhaus AG,Martini Weissbier Hell
german style wheat,2002,silver,Penn Weizen,Pennsylvania Brewing Company,Penn Weizen
german style wheat,2002,bronze,Tucher Kristall Weizen,Tucher Bräu GmbH & Company KG,Tucher Kristall Weizen
american style wheat,2002,gold,Leinenkugel’s Honey Weiss,Jacob Leinenkugel Brewing,Leinenkugels Honey Weiss Bier
american style wheat,2002,silver,Hefeweizen,Pyramid Ales and Lagers,Pyramid Haywire Hefeweizen
american style wheat,2002,bronze,Shiner Hefeweizen,"The Spoetzl Brewery, Inc.",Shiner Hefeweizen
german style wheat,2004,gold,Hofmühl-Weissbier Leicht,Privatbrauerei Hofmühl GmbH,Hofmühl Weissbier Leicht
german style wheat,2004,silver,Redback,Matilda Bay Brewing Co.,Matilda Bay Redback Original
german style wheat,2004,bronze,Samuel Adams Weiss Bier,Boston Beer Co.,Samuel Adams Weiss Bier
american style wheat,2004,gold,Shiner Winter Ale,The Spoetzl Brewery,Shiner Dunkelweizen &#40;Winter Ale&#41;
american style wheat,2004,silver,Leinenkugel’s Honey Weiss,Jacob Leinenkugel Brewing,Leinenkugels Honey Weiss Bier
american style hefe,2004,gold,Widmer Hefeweizen,Widmer Brothers Brewing Co.,Widmer Brothers Hefeweizen
american style hefe,2004,silver,Henry Weinhard's Hefeweizen,Miller Brewing Co.,Henry Weinhards Hefeweizen
german style hefe,2004,silver,Weißer Franke,Ritter St. Georgen Brauerei,Ritter St. Georgen Weißer Franke
german style hefe,2004,bronze,Freudenberger Hefe Weizen,Brauerei Märkl,Freudenberger Hefe-Weizen
german style hefe,2006,gold,Top Heavy,Piece Brewing Co.,Piece Top Heavy Hefeweizen
german style hefe,2006,bronze,Hoepfner Hefeweizen,Privatbrauerei Hoepfner,Hoepfner Hefe-Weizen
german style wheat,2006,silver,Kitzmann Leichtes Weißbier,KitzmannBräu KG,Kitzmann Leichtes Weissbier
german style wheat,2006,bronze,Ich Bin Ein Berliner Weisse,Nodding Head,Nodding Head Ich Bin Ein Berliner Weisse
american style wheat,2006,silver,Leinenkugel’s Honey Weiss,Jacob Leinenkugel Brewing,Leinenkugels Honey Weiss Bier
american style wheat,2006,bronze,Pyramid Crystal Weizen,"Pyramid Breweries, Inc.",Pyramid Crystal Wheat
american style hefe,2006,gold,Haru Urara,Iganosato Mokumoku,Iganosato Moku Moku Haru Urara
american style hefe,2006,silver,Shiner Hefeweizen,"The Spoetzl Brewery, Inc.",Shiner Hefeweizen
american style hefe,2006,bronze,Pyramid Hefeweizen,Pyramid Ales and Lagers,Pyramid Haywire Hefeweizen
german style hefe,2008,gold,Freudenberger Hefe Weizen,Brauerei Märkl,Freudenberger Hefe-Weizen
german style hefe,2008,silver,Plank Hefeweizen,Brauerei Michael Plank,Plank Hefeweizen
german style wheat,2008,gold,Distelhäuser Kristallweizen,Distelhäuser Brauerei Ernst Bauer GmbH,Distelhäuser Kristall Weizenbier
german style wheat,2008,bronze,Weihenstephan Kristall-Weissbier,Bayerische Staatsbrauerei Weihenstephan,Weihenstephaner Kristall Weissbier
american style wheat,2008,gold,Pyramid Crystal Weizen,"Pyramid Breweries, Inc.",Pyramid Crystal Wheat
american style wheat,2008,silver,Shiner Dunkelweizen,The Spoetzl Brewery,Shiner Dunkelweizen &#40;Winter Ale&#41;
american style wheat,2008,bronze,Spanish Peaks Crystal Weiss,Spanish Peaks Brewing Co.,Spanish Peaks Crystal Weiss
american style hefe,2008,gold,Widmer Hefeweizen,Widmer Brothers Brewing Co.,Widmer Brothers Hefeweizen
american style hefe,2008,silver,UFO Hefeweizen,Harpoon Brewery,Harpoon UFO Hefeweizen
american style hefe,2008,bronze,La Bianca,Apostel Bräu,Apostelbräu La Bianca
american style wheat,2010,gold,Shredders Wheat,Barley Brown’s Brew Pub,Barley Browns Shredders Wheat
american style wheat,2010,silver,Rockfish Wheat,Blue Mountain Brewery,Blue Mountain Rockfish Wheat Kristall Weizen
american style wheat,2010,bronze,DD Blonde,Hop Valley Brewing Co.,Hop Valley Double D Blonde
american style hefe,2010,gold,Point Horizon Wheat,Stevens Point Brewery,Point Horizon Wheat
american style hefe,2010,silver,UFO Hefeweizen,Harpoon Brewery,Harpoon UFO Hefeweizen
american style hefe,2010,bronze,Whitetail Wheat,Montana Brewing Co.,Montana Brewing Whitetail Wheat
german style hefe,2010,gold,Hefeweizen,Firestone Walker Brewing Co.,Firestone Walker Hefeweizen
german style hefe,2010,bronze,Top Heavy,Piece Brewing Co.,Piece Top Heavy Hefeweizen
german style wheat,2010,silver,Unertl Leichte Weisse,Weißbräu Unertl GmbH & Co. KG,Unertl Leichte Weisse
german style wheat,2010,bronze,Distelhäuser Kristallweizen,Distelhäuser Brauerei Ernst Bauer GmbH,Distelhäuser Kristall Weizenbier
